Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Connecticut,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Indiana,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
New Jersey,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Kentucky,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Kansas,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Alabama,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
North Dakota,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Nevada,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Delaware,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Illinois,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Vermont,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
West Virginia,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
New York,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Rhode Island,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
New Hampshire,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
District of Columbia,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Louisiana,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,131,26,16591
Tennessee,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,133.9,19,10499
Missouri,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,174.3,33,17115
Ohio,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,199.4,36,15758
Georgia,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,206.8,35,14583
Arizona,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,224.3,337,154248
Massachusetts,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,226.6,23,7986
Mississippi,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,226.7,17,8028
Utah,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,255.5,38,17087
South Carolina,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,267,32,10760
New Mexico,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,270,277,98677
Florida,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,272.1,119,31054
Maryland,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,278.5,32,9423
Wyoming,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,282.2,16,6619
North Carolina,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,309.1,232,64747
Texas,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,313.6,207,54742
Colorado,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,317.9,73,22120
Oregon,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,329.4,110,29259
Iowa,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,331.9,16,5543
Pennsylvania,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,339.3,47,12071
Maine,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,340.3,21,5318
Idaho,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,360.2,47,11308
Virginia,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,378,59,13055
Michigan,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,396,158,36439
California,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,402.9,513,104778
Nebraska,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,432.8,32,9147
Arkansas,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,440.5,64,13314
Washington,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,458.9,289,57786
Alaska,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,472.6,255,59700
Oklahoma,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,474.4,883,196592
Minnesota,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,520.9,163,34652
South Dakota,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,531,151,39288
Montana,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,554.4,169,35780
Wisconsin,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,604.2,177,28998
Hawaii,All Types of Cancer,2020,Female,American Indian and Alaska Native Non-Hispanic,Incidence,1180.8,21,1631
