Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,88.5,217,274011
Utah,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,121,3080,2564620
Colorado,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,128.5,6794,3988030
Arizona,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,130.6,9914,4075422
New Mexico,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,134.1,2054,783475
North Dakota,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,136.2,1212,646724
Connecticut,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,136.3,5550,2354601
Wyoming,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,137.1,956,493371
New York,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,137.2,23472,10800896
Minnesota,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,137.9,9128,4513407
Hawaii,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,138.6,716,305879
Idaho,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,138.6,2816,1512401
Massachusetts,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,138.7,10747,4934739
Alaska,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,139.5,730,461177
Montana,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,141.7,2016,942577
Maryland,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,143,6836,3065729
New Jersey,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,143,11574,4869242
California,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,143.1,35155,14721680
Washington,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,144.7,11113,5303363
Florida,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,145.1,33991,11730894
South Dakota,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,146,1593,734516
New Hampshire,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,146.7,2747,1235857
Wisconsin,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,147.4,10653,4747166
North Carolina,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,148.5,15140,6711126
Iowa,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,148.8,6041,2703472
Georgia,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,148.9,11925,5619010
Rhode Island,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,149.1,1904,761395
Virginia,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,149.6,11565,5337294
Nebraska,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,149.7,3264,1527461
Oregon,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,150.2,7626,3250213
South Carolina,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,150.9,7901,3361934
Texas,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,150.9,26669,12233845
Delaware,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,152,1660,613617
Pennsylvania,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,152.4,24193,9738852
Kansas,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,152.5,4914,2227690
Vermont,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,153,1374,583409
Louisiana,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,153.6,6057,2734948
Illinois,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,155.9,18416,7710316
Michigan,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,157.3,17842,7534869
Missouri,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,158.2,11360,4927676
Ohio,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,159.9,21714,9245719
Nevada,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,161.3,4065,1541542
Maine,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,162.1,3355,1267607
Alabama,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,162.8,7952,3250825
Tennessee,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,165.3,12192,5123255
Indiana,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,165.7,12310,5333871
Arkansas,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,166.3,5531,2209564
Mississippi,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,168.4,4267,1686946
Oklahoma,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,172,6884,2691420
West Virginia,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,178.8,4578,1658328
Kentucky,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Mortality,179.2,9395,3805077
