Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Idaho,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Pennsylvania,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Illinois,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Ohio,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Iowa,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Carolina,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Kentucky,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maine,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maryland,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Massachusetts,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Tennessee,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Indiana,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Utah,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Vermont,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Georgia,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Hawaii,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Mississippi,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Nebraska,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Arkansas,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Missouri,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Connecticut,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Wyoming,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Delaware,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alabama,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Jersey,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Rhode Island,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Texas,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,57.1,36,54440
New York,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,70.8,26,34395
Florida,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,82.7,37,30648
Louisiana,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,93.4,17,15933
Nevada,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,108.6,16,14561
Colorado,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,109,21,22018
Oregon,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,131.6,36,28463
Arizona,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,132.2,142,144658
New Mexico,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,144.4,102,90399
Michigan,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,144.7,54,34751
California,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,156.1,174,100067
Virginia,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,167.2,26,12985
North Carolina,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,172,109,59591
Washington,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,174.4,82,56041
Wisconsin,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,197.4,44,28562
Kansas,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,202.9,23,14085
Montana,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,203.5,51,34915
Oklahoma,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,230.9,343,189693
Minnesota,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,232.4,52,33605
North Dakota,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,245.1,29,20774
South Dakota,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,266.4,53,38125
Alaska,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,271.6,118,61032
