Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Indiana,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
North Dakota,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Nevada,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Wyoming,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,Data not presented,Data not presented,Data not presented
South Dakota,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,182.6,25,24969
Maine,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,224.7,36,27177
Hawaii,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,288.3,69,37370
New Hampshire,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,290.5,49,25004
New Mexico,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,291.7,144,48693
Montana,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,300.3,16,9814
Arizona,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,305.2,1002,383281
Rhode Island,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,314.1,213,73927
Idaho,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,346.9,37,19755
Alaska,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,356.5,89,31954
Massachusetts,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,361.2,1883,548755
Washington,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,361.6,1060,388158
California,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,364.9,9875,2449179
Florida,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,365.7,12833,3491048
Colorado,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,367.7,849,274547
Oregon,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,375.9,309,109691
Delaware,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,378.2,928,229283
Virginia,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,378.9,7152,1721838
West Virginia,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,381.8,282,73412
South Carolina,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,384.8,6104,1407964
Michigan,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,385.9,5892,1456824
New York,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,389.6,13127,2913569
Connecticut,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,389.9,1577,396872
Tennessee,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,394,4682,1191073
Alabama,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,395.7,5731,1331864
Arkansas,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,397.2,1908,484875
Nebraska,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,398.8,324,110002
Pennsylvania,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,400.7,6027,1480541
Minnesota,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,403.9,1062,438264
Ohio,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,405,6463,1601597
Maryland,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,405.1,8539,1881723
Utah,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,406.4,97,49589
Texas,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,409.4,13929,3699914
Oklahoma,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,416.7,1271,340848
Illinois,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,417.3,8387,1851058
District of Columbia,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,419,1596,321426
Mississippi,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,422.5,4959,1128396
Georgia,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,425.5,14605,3490446
North Carolina,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,427.8,11021,2344295
Missouri,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,431.3,3225,758249
Kentucky,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,432.8,1650,401092
Kansas,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,436.9,736,194504
New Jersey,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,443.3,5825,1199960
Louisiana,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,444.1,7091,1532912
Vermont,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,465.9,30,10699
Wisconsin,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,508.2,1610,410303
Iowa,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Incidence,513.2,425,148514
