Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,84.5,2428,1726244
Hawaii,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,101.1,1119,702640
Utah,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,106.8,1646,1612139
Colorado,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,110.2,3884,2881832
Arizona,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,111,5853,3735475
New Mexico,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,113.9,1727,1063860
California,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,113.9,28599,19790589
New York,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,114.6,16528,9946279
Massachusetts,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,115.7,6002,3546542
Connecticut,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,116.4,3246,1822086
Florida,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,116.7,21138,11113132
Idaho,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,117.2,1364,910789
Rhode Island,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,118.8,983,542433
Texas,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,119,19541,14779708
New Jersey,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,119.6,7867,4539322
Wyoming,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,119.7,469,285437
Washington,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,120.2,5989,3840014
Montana,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,121.2,965,536476
Minnesota,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,122.8,4770,2838748
New Hampshire,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,123.9,1286,689281
North Dakota,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,124.8,630,373494
Maryland,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,125.2,5319,3123228
Alaska,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,125.4,456,349621
Virginia,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,125.6,7310,4363032
Delaware,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,125.9,990,510069
North Carolina,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,125.9,9414,5448241
Georgia,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,126.1,8465,5508468
Wisconsin,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,126.7,5368,2928939
District of Columbia,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,126.9,520,374884
Oregon,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,127.6,3943,2139046
Iowa,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,127.9,2986,1587866
South Carolina,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,128,4930,2694628
Nevada,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,128.7,2542,1565619
Kansas,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,129.1,2566,1462265
Vermont,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,129.5,644,315355
Illinois,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,131.2,11590,6402224
Nebraska,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,131.3,1720,969739
South Dakota,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,131.5,822,442058
Alabama,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,131.5,4718,2544566
Pennsylvania,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,131.7,13379,6516212
Louisiana,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,132.4,4195,2381158
Missouri,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,134.3,6055,3133825
Ohio,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,134.9,11635,5960556
Arkansas,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,135,2887,1543666
Maine,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,135.3,1567,688840
Michigan,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,135.3,9963,5058742
Tennessee,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,137.5,6641,3528814
Indiana,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,140.4,6469,3422994
West Virginia,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,147,2102,900511
Mississippi,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,147.2,3060,1530971
Oklahoma,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,148.9,3944,2009602
Kentucky,All Types of Cancer,2020,Female,All Races and Ethnicities,Mortality,152.7,4811,2271906
