Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
North Dakota,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maine,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Vermont,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Montana,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alaska,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2020,Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alabama,All Types of Cancer,2020,Female,Hispanic,Mortality,38.7,22,107886
South Carolina,All Types of Cancer,2020,Female,Hispanic,Mortality,64.2,51,152106
Mississippi,All Types of Cancer,2020,Female,Hispanic,Mortality,65,17,44894
Ohio,All Types of Cancer,2020,Female,Hispanic,Mortality,66.5,99,238770
Tennessee,All Types of Cancer,2020,Female,Hispanic,Mortality,66.5,66,193161
Rhode Island,All Types of Cancer,2020,Female,Hispanic,Mortality,67.3,40,87633
North Carolina,All Types of Cancer,2020,Female,Hispanic,Mortality,67.6,169,511832
Massachusetts,All Types of Cancer,2020,Female,Hispanic,Mortality,70.1,216,437457
Maryland,All Types of Cancer,2020,Female,Hispanic,Mortality,70.5,139,317162
Kentucky,All Types of Cancer,2020,Female,Hispanic,Mortality,72.1,31,83373
Georgia,All Types of Cancer,2020,Female,Hispanic,Mortality,73.7,201,512463
Louisiana,All Types of Cancer,2020,Female,Hispanic,Mortality,73.9,74,119146
Virginia,All Types of Cancer,2020,Female,Hispanic,Mortality,75.3,179,414878
Arkansas,All Types of Cancer,2020,Female,Hispanic,Mortality,75.8,40,116595
Kansas,All Types of Cancer,2020,Female,Hispanic,Mortality,79.2,73,175079
Oregon,All Types of Cancer,2020,Female,Hispanic,Mortality,79.8,113,279984
Missouri,All Types of Cancer,2020,Female,Hispanic,Mortality,79.9,65,133900
New York,All Types of Cancer,2020,Female,Hispanic,Mortality,80.4,1523,1898467
Nevada,All Types of Cancer,2020,Female,Hispanic,Mortality,80.7,240,456401
Wisconsin,All Types of Cancer,2020,Female,Hispanic,Mortality,81.6,83,206984
New Jersey,All Types of Cancer,2020,Female,Hispanic,Mortality,81.6,657,936258
Connecticut,All Types of Cancer,2020,Female,Hispanic,Mortality,81.9,181,309057
Indiana,All Types of Cancer,2020,Female,Hispanic,Mortality,84.7,111,243773
Florida,All Types of Cancer,2020,Female,Hispanic,Mortality,86.1,2925,2910341
Pennsylvania,All Types of Cancer,2020,Female,Hispanic,Mortality,87,279,508773
Washington,All Types of Cancer,2020,Female,Hispanic,Mortality,87.4,211,497598
Illinois,All Types of Cancer,2020,Female,Hispanic,Mortality,87.9,647,1087207
Delaware,All Types of Cancer,2020,Female,Hispanic,Mortality,90.4,23,47725
Minnesota,All Types of Cancer,2020,Female,Hispanic,Mortality,92.2,67,154579
Nebraska,All Types of Cancer,2020,Female,Hispanic,Mortality,94.5,48,108311
Idaho,All Types of Cancer,2020,Female,Hispanic,Mortality,95,56,115292
Texas,All Types of Cancer,2020,Female,Hispanic,Mortality,96.4,4183,5811112
Utah,All Types of Cancer,2020,Female,Hispanic,Mortality,96.8,113,230001
Arizona,All Types of Cancer,2020,Female,Hispanic,Mortality,97.7,821,1177700
California,All Types of Cancer,2020,Female,Hispanic,Mortality,97.8,5943,7742745
Colorado,All Types of Cancer,2020,Female,Hispanic,Mortality,103.8,446,625527
Michigan,All Types of Cancer,2020,Female,Hispanic,Mortality,105.2,166,266637
Oklahoma,All Types of Cancer,2020,Female,Hispanic,Mortality,111.1,112,217275
New Mexico,All Types of Cancer,2020,Female,Hispanic,Mortality,111.5,617,527189
Iowa,All Types of Cancer,2020,Female,Hispanic,Mortality,111.9,48,98759
Wyoming,All Types of Cancer,2020,Female,Hispanic,Mortality,128.7,25,28712
Hawaii,All Types of Cancer,2020,Female,Hispanic,Mortality,166.5,54,71784
