Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Montana,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
South Carolina,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Indiana,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Iowa,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Kentucky,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Kansas,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Alabama,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Nebraska,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
South Dakota,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Alaska,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Hawaii,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Nevada,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
North Dakota,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Missouri,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Delaware,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Mississippi,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Wyoming,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Tennessee,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Ohio,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Michigan,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Vermont,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Arkansas,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
West Virginia,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Louisiana,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Idaho,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Rhode Island,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
New Hampshire,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Maine,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
District of Columbia,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Wisconsin,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
New Mexico,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,3.3,34,1046092
Georgia,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,3.7,30,1067941
Illinois,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.1,77,2219748
Maryland,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.3,21,654437
Washington,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.5,31,1027545
Colorado,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.6,48,1274247
Texas,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.6,452,11691857
Arizona,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.7,93,2366919
Oregon,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.7,18,579836
Virginia,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.7,36,855301
North Carolina,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.8,37,1052435
California,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,4.9,652,15569780
Oklahoma,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,5.1,18,452487
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,5.1,32,1032627
Massachusetts,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,5.4,36,867425
New York,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,5.6,200,3738921
Florida,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,6,356,5749737
New Jersey,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,6,102,1874656
Connecticut,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,6.1,31,612929
Minnesota,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,6.2,16,321686
Utah,Brain and Other Nervous System,2020,Male and Female,Hispanic,Incidence,7.3,25,471647
