Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
North Dakota,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Hawaii,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Idaho,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Iowa,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Rhode Island,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Oklahoma,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Massachusetts,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Utah,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Vermont,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Washington,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maine,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Kansas,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Minnesota,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Nebraska,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Nevada,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Montana,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Colorado,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Wyoming,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Connecticut,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Delaware,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Mexico,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Arkansas,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alaska,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Oregon,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Arizona,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Ohio,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.4,37,1601597
Georgia,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.4,81,3490446
New York,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.4,77,2913569
Florida,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.5,86,3491048
Louisiana,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.6,40,1532912
Alabama,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.6,39,1331864
Illinois,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.7,52,1851058
Maryland,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.7,56,1881723
Missouri,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.7,20,758249
Indiana,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.8,19,709558
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.8,44,1480541
Texas,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.9,99,3699914
Michigan,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.9,45,1456824
