Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Idaho,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Illinois,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
North Dakota,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Ohio,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Iowa,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Florida,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Kansas,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Carolina,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maine,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Kentucky,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Tennessee,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Louisiana,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Texas,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Oklahoma,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maryland,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Massachusetts,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
North Carolina,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Oregon,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Indiana,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Utah,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Vermont,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Georgia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Washington,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Michigan,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Hawaii,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Minnesota,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Mississippi,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Nebraska,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Arkansas,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Nevada,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Missouri,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Wisconsin,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Montana,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Virginia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Colorado,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Connecticut,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Wyoming,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Delaware,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Mexico,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alabama,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New York,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alaska,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Jersey,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
California,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Rhode Island,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Arizona,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
