Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Idaho,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Indiana,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
North Dakota,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Iowa,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Kansas,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Carolina,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Kentucky,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Louisiana,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Oklahoma,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maine,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maryland,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Massachusetts,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
North Carolina,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Michigan,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Oregon,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Tennessee,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Virginia,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Utah,Brain and Other Nervous System,2020,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
