Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
District of Columbia,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,2.4,52,1555294
Hawaii,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,3.3,28,704366
Delaware,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,4.1,23,476740
Idaho,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,4.3,46,916124
North Dakota,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,4.3,17,391815
North Carolina,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,4.7,283,5152582
New Jersey,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,4.7,241,4343049
New York,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,4.8,527,9390497
Louisiana,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,4.9,128,2264160
Indiana,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5,190,3331959
Iowa,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5,99,1575695
New Mexico,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5,62,1042459
Nevada,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.1,90,1572640
Texas,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.2,731,14581051
Maryland,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.2,177,2932574
Colorado,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.2,166,2925887
Arizona,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.2,229,3685926
Pennsylvania,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.3,417,6267042
Illinois,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.3,365,6185306
Florida,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.3,763,10620180
Oklahoma,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.4,117,1971181
West Virginia,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.4,60,884276
Virginia,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.5,258,4227531
Wisconsin,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.5,202,2903716
Oregon,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.6,140,2102461
Georgia,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.7,312,5201549
Kentucky,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.7,151,2205345
Minnesota,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.7,185,2818594
Mississippi,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.7,94,1435815
Ohio,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.8,394,5732661
South Carolina,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.8,186,2523412
Utah,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.8,84,1637740
Alabama,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.8,167,2376966
Alaska,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.8,23,381537
California,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.8,1200,19577489
Massachusetts,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.9,240,3347032
Wyoming,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,5.9,19,296891
Tennessee,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6,237,3358020
Montana,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6,39,544101
Rhode Island,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6,38,514692
Vermont,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6.1,25,307992
Washington,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6.1,266,3853598
South Dakota,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6.2,31,450659
Missouri,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6.2,216,3017723
Arkansas,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6.2,113,1486856
Kansas,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6.3,106,1451540
Nebraska,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6.3,68,967813
Michigan,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6.4,375,4907813
Connecticut,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,6.6,143,1734920
New Hampshire,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,7.2,65,676994
Maine,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Mortality,7.8,71,661301
