Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
Indiana,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
North Dakota,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,3.9,37,765309
Wyoming,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,3.9,31,582328
South Dakota,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4,46,892717
Montana,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.1,60,1080577
Iowa,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.2,171,3163561
Colorado,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.3,283,5807719
Nebraska,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.3,103,1937552
Kansas,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.5,159,2913805
Utah,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.5,132,3249879
Oregon,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.5,250,4241507
Arizona,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.6,442,7421401
Idaho,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.6,97,1826913
Oklahoma,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.7,228,3980783
New Hampshire,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.7,91,1366275
Missouri,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.8,368,6151548
Virginia,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,4.9,518,8590563
Arkansas,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5,197,3030522
Florida,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.1,1653,21733312
Ohio,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.1,785,11693217
West Virginia,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.1,133,1784787
Washington,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.1,476,7693612
Alabama,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.2,327,4921532
Michigan,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.2,676,9966555
Minnesota,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.2,366,5657342
North Carolina,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.3,708,10600823
New Mexico,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.3,146,2106319
Tennessee,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.3,464,6886834
Wisconsin,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.3,416,5832655
Puerto Rico,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.3,267,3281538
Massachusetts,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.4,478,6893574
Vermont,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.4,49,623347
Maryland,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.5,413,6055802
Pennsylvania,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.5,964,12783254
Rhode Island,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.5,75,1057125
South Carolina,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.6,389,5218040
Maine,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.7,121,1350141
Mississippi,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.7,213,2966786
Delaware,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.8,77,986809
Kentucky,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.8,316,4477251
District of Columbia,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.9,43,712816
Texas,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,5.9,1812,29360759
Alaska,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,6,49,731158
Illinois,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,6,949,12587530
Louisiana,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,6.2,356,4645318
Georgia,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,6.3,773,10710017
New Jersey,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,6.3,717,8882371
Connecticut,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,6.6,313,3557006
California,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,6.6,3008,39368078
Hawaii,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,6.9,136,1407006
New York,Stomach,2020,Male and Female,All Races and Ethnicities,Incidence,7.4,1811,19336776
