Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Idaho,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
North Dakota,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Iowa,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Kansas,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Maine,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Oklahoma,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Utah,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Vermont,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Hawaii,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Minnesota,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Mississippi,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Nevada,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Montana,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Connecticut,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
New Mexico,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Wyoming,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Delaware,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Nebraska,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Alaska,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Rhode Island,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Colorado,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Arkansas,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Illinois,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.2,27,12587530
Florida,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.2,66,21733312
Texas,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.2,67,29360759
North Carolina,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.2,23,10600823
Massachusetts,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.2,22,6893574
Michigan,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.2,30,9966555
New Jersey,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.2,17,8882371
New York,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.2,55,19336776
Arizona,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.2,18,7421401
Pennsylvania,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,46,12783254
Indiana,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,24,6754953
Ohio,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,42,11693217
Georgia,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,30,10710017
South Carolina,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,23,5218040
Kentucky,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,16,4477251
Maryland,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,20,6055802
Tennessee,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,25,6886834
Virginia,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,31,8590563
Oregon,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,16,4241507
Washington,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,25,7693612
Wisconsin,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,18,5832655
Alabama,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,17,4921532
California,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.3,129,39368078
Louisiana,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.4,20,4645318
Missouri,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Mortality,0.4,33,6151548
