Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Wyoming,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Montana,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,1.3,19,1080577
South Dakota,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,1.5,18,892717
North Dakota,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,1.7,17,765309
Missouri,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,1.7,137,6151548
Iowa,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,1.8,75,3163561
Utah,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,1.8,49,3249879
Vermont,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,1.9,16,623347
Indiana,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2,161,6754953
West Virginia,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2,53,1784787
New Hampshire,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2,34,1366275
Idaho,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.1,44,1826913
Colorado,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.1,134,5807719
Kansas,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.2,74,2913805
Michigan,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.2,299,9966555
Oregon,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.2,126,4241507
Arizona,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.2,216,7421401
Pennsylvania,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.3,417,12783254
Ohio,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.3,353,11693217
Minnesota,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.3,166,5657342
Nebraska,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.3,51,1937552
Washington,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.4,224,7693612
Nevada,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.4,87,3138259
Rhode Island,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.4,34,1057125
Florida,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.5,796,21733312
Wisconsin,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.5,191,5832655
Arkansas,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.5,104,3030522
Maine,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.6,56,1350141
Virginia,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.6,269,8590563
Alabama,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.6,163,4921532
Kentucky,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.7,143,4477251
Oklahoma,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.7,125,3980783
North Carolina,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.7,353,10600823
Tennessee,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.7,229,6886834
Georgia,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.8,340,10710017
Maryland,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.8,212,6055802
Massachusetts,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.8,253,6893574
Illinois,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.9,449,12587530
New Jersey,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.9,334,8882371
New York,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,2.9,735,19336776
Connecticut,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3,145,3557006
South Carolina,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3.2,215,5218040
Texas,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3.2,970,29360759
Puerto Rico,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3.3,177,3281538
New Mexico,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3.4,93,2106319
Louisiana,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3.5,192,4645318
Delaware,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3.5,46,986809
Mississippi,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3.8,143,2966786
Alaska,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3.8,29,731158
California,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,3.9,1739,39368078
Hawaii,Stomach,2020,Male and Female,All Races and Ethnicities,Mortality,4,79,1407006
