Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
North Dakota,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Idaho,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,,,
South Dakota,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Vermont,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Maine,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,,,
New Hampshire,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Montana,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Wyoming,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Puerto Rico,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Rhode Island,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,121.6,74,73927
New York,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,133.9,4487,2913569
Massachusetts,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,137.6,672,548755
Oregon,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,146.3,110,109691
Alaska,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,147.3,30,31954
Florida,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,147.6,4991,3491048
New Mexico,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,147.9,69,48693
Connecticut,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,148.1,562,396872
Hawaii,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,152.4,29,37370
Colorado,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,152.5,313,274547
Arizona,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,153.4,458,383281
Nevada,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,156.4,445,328591
Washington,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,157,401,388158
New Jersey,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,157.1,2005,1199960
Georgia,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,160.5,5062,3490446
Utah,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,160.8,34,49589
Minnesota,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,161.5,360,438264
Maryland,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,163,3275,1881723
North Carolina,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,165.1,4071,2344295
Delaware,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,167.6,393,229283
Alabama,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,169,2358,1331864
Virginia,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,170.8,3060,1721838
California,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,171.2,4490,2449179
Texas,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,172.8,5379,3699914
Indiana,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,174.1,1034,709558
South Carolina,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,175.2,2672,1407964
Kansas,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,175.4,280,194504
Michigan,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,175.9,2604,1456824
Ohio,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,176.4,2728,1601597
Arkansas,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,177.4,823,484875
West Virginia,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,178.1,126,73412
Tennessee,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,178.7,1957,1191073
Missouri,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,179.5,1295,758249
Illinois,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,180.5,3564,1851058
District of Columbia,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,184.1,723,321426
Pennsylvania,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,187.5,2730,1480541
Louisiana,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,187.6,2877,1532912
Iowa,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,188.1,129,148514
Kentucky,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,190,682,401092
Oklahoma,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,193.5,537,340848
Mississippi,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,197.6,2231,1128396
Nebraska,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,202.1,144,110002
Wisconsin,All Types of Cancer,2020,Male and Female,Black Non-Hispanic,Mortality,220.5,630,410303
