Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Illinois,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Iowa,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Kentucky,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Massachusetts,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Pennsylvania,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Indiana,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Vermont,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Hawaii,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
West Virginia,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Connecticut,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Wyoming,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Delaware,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Alabama,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New Hampshire,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
District of Columbia,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New Jersey,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Rhode Island,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Puerto Rico,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
