Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
North Dakota,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,,,
Maine,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,,,
South Dakota,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,,,
Vermont,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,,,
West Virginia,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,,,
Puerto Rico,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,,,
District of Columbia,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,55,26,81115
Kentucky,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,56.4,52,179277
Rhode Island,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,57.1,64,176471
Mississippi,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,62.5,34,99990
Alabama,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,63,70,226557
New Hampshire,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,70.5,24,57467
Maryland,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,76.9,280,654437
Louisiana,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,77.4,144,252634
Alaska,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,77.4,17,53556
North Carolina,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,79.1,373,1052435
Virginia,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,80,348,855301
Arkansas,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,80.6,81,243163
Nebraska,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,81.2,80,225592
Tennessee,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,81.5,153,404410
South Carolina,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,81.6,129,320061
Ohio,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,83.3,233,488084
Missouri,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,83.9,127,276072
Montana,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,84.2,23,44960
Massachusetts,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,85.7,445,867425
Georgia,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,87.9,456,1067941
Indiana,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,89,228,502475
Oregon,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,90.3,236,579836
New York,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,90.5,2969,3738921
Nevada,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,92.4,511,924674
New Jersey,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,92.4,1318,1874656
Iowa,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,92.5,75,205956
Washington,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,94.3,442,1027545
Minnesota,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,96.5,141,321686
Wisconsin,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,97.4,186,425753
Illinois,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,98.5,1355,2219748
Connecticut,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,99.5,393,612929
Florida,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,102.2,6068,5749737
Idaho,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,104.3,113,237272
Delaware,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,105.8,51,97078
Utah,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,109.3,228,471647
Pennsylvania,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,109.8,622,1032627
Arizona,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,110.7,1697,2366919
California,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,110.8,12103,15569780
Texas,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,111.5,8817,11691857
Kansas,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,115.3,199,362238
Oklahoma,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,115.8,227,452487
Michigan,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,119.4,356,542105
Colorado,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,123.3,953,1274247
New Mexico,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,125.8,1271,1046092
Wyoming,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,133.1,50,60279
Hawaii,All Types of Cancer,2020,Male and Female,Hispanic,Mortality,187.7,117,147874
