Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,127.9,2948,1555294
Utah,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,136.5,1814,1637740
Arizona,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,146.9,6823,3685926
New York,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,148.6,16427,9390497
New Mexico,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,149.4,1922,1042459
Colorado,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,150.9,4367,2925887
Hawaii,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,151.4,1400,704366
California,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,152.6,31179,19577489
New Jersey,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,153.5,7709,4343049
District of Columbia,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,156.2,464,337932
Wyoming,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,156.9,560,296891
Connecticut,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,157.6,3392,1734920
North Dakota,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,158.6,678,391815
Florida,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,158.9,24662,10620180
Minnesota,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,159.9,5174,2818594
Idaho,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,160.8,1640,916124
Massachusetts,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,162.1,6374,3347032
Nevada,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,163.1,2908,1572640
Washington,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,163.4,6807,3853598
Montana,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,165.4,1173,544101
Maryland,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,167.1,5480,2932574
Texas,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,167.6,22601,14581051
Oregon,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,168.9,4340,2102461
Nebraska,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,169,1821,967813
Alaska,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,169.1,587,381537
New Hampshire,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,173.2,1540,676994
South Dakota,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,173.8,908,450659
Iowa,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,174.3,3318,1575695
Rhode Island,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,174.3,1093,514692
Virginia,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,175.3,8188,4227531
Georgia,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,177.5,9362,5201549
Wisconsin,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,177.5,6286,2903716
Illinois,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,177.6,12425,6185306
North Carolina,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,179.1,10582,5152582
Vermont,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,180.3,756,307992
Kansas,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,180.7,2972,1451540
Pennsylvania,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,181.7,14575,6267042
Delaware,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,183.6,1151,476740
Michigan,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,186.7,11195,4907813
South Carolina,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,187,5856,2523412
Missouri,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,188.2,6852,3017723
Ohio,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,191.1,13228,5732661
Indiana,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,193.1,7195,3331959
Maine,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,194.7,1865,661301
Louisiana,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,196,5000,2264160
Oklahoma,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,199.6,4424,1971181
Tennessee,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,199.6,7795,3358020
Arkansas,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,200.3,3609,1486856
Alabama,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,201.1,5738,2376966
Kentucky,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,209.3,5370,2205345
West Virginia,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,212.8,2623,884276
Mississippi,All Types of Cancer,2020,Male,All Races and Ethnicities,Mortality,214.2,3522,1435815
