Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,,,
District of Columbia,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,89.3,106,136184
Utah,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,136.9,1616,1287800
Arizona,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,149.2,5383,2013357
Colorado,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,151.1,3587,2002532
New Mexico,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,153.7,1103,388022
Hawaii,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,155.8,434,165651
North Dakota,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,156.4,632,329651
New York,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,157.9,11878,5287517
Wyoming,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,159,523,250498
Minnesota,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,160.1,4771,2239725
Alaska,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,160.4,415,243723
Connecticut,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,161.4,2866,1147913
New Jersey,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,163.4,5740,2378225
Montana,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,164,1101,475215
Idaho,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,164.5,1550,755926
Massachusetts,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,166.4,5542,2389132
Maryland,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,166.4,3540,1501660
California,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,167,18689,7365392
Florida,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,168.5,18641,5745470
Washington,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,169.3,5918,2647197
South Dakota,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,171,840,369315
Nebraska,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,172.9,1688,757498
Oregon,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,174.5,4007,1600550
New Hampshire,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,175.3,1498,610219
Wisconsin,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,175.5,5736,2359757
Iowa,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,177.2,3199,1336478
Virginia,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,178,6189,2637408
North Carolina,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,179,8122,3277105
Georgia,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,179.1,6447,2759921
Nevada,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,180.3,2214,784742
Kansas,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,180.8,2623,1100210
South Carolina,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,181.1,4311,1638616
Texas,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,181.4,14590,6063778
Pennsylvania,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,181.5,12703,4771029
Vermont,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,182.7,744,287880
Illinois,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,183.8,9603,3791759
Delaware,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,185.6,909,296209
Louisiana,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,185.8,3296,1343835
Rhode Island,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,186.2,1012,367048
Michigan,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,187.5,9563,3726688
Missouri,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,189.7,6101,2422725
Ohio,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,192.6,11625,4539731
Maine,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,195.7,1823,619537
Indiana,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,196.4,6498,2625007
Tennessee,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,199.2,6595,2503449
Oklahoma,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,201,3655,1322611
Alabama,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,202.1,4425,1587080
Arkansas,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,202.9,3085,1084007
Mississippi,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,203.3,2299,826996
Kentucky,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,213.1,4987,1865039
West Virginia,All Types of Cancer,2020,Male,White Non-Hispanic,Mortality,215.8,2542,817264
