Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
North Dakota,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Idaho,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Vermont,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maine,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Montana,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Wyoming,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alaska,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,151.6,17,17809
New York,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,154.2,2015,1363338
Rhode Island,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,155.4,39,36978
Hawaii,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,158.2,18,22307
Connecticut,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,160.7,249,189556
Massachusetts,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,166.7,329,267259
Nevada,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,174.5,227,162628
Florida,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,176.9,2525,1680218
Oregon,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,179.8,64,58898
Minnesota,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,180.5,180,223543
New Mexico,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,181.4,42,27363
Colorado,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,183.8,171,146622
Arizona,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,188.9,252,197402
Washington,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,191,232,208860
New Jersey,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,192.5,954,568545
Georgia,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,197.5,2474,1628586
California,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,202.3,2257,1222455
Maryland,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,202.8,1590,877750
North Carolina,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,204.1,2044,1096046
Iowa,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,206.3,66,78636
Utah,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,207.3,21,28008
Delaware,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,207.7,196,108274
Michigan,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,210.5,1265,691951
Virginia,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,213.9,1561,827543
Texas,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,215.6,2755,1789746
Ohio,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,218.4,1389,769714
Alabama,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,218.5,1223,618075
Missouri,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,219,627,361116
Kentucky,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,221,336,199721
Indiana,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,221.4,528,343620
Kansas,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,221.7,151,100723
Illinois,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,222.6,1748,871362
District of Columbia,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,224.7,337,145364
Oklahoma,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,226.3,272,171058
Nebraska,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,226.6,74,56610
South Carolina,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,229.8,1427,655720
Pennsylvania,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,232.7,1338,714570
Arkansas,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,234.4,455,230345
Tennessee,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,238.1,1038,562474
Louisiana,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,246.5,1560,725480
West Virginia,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,250,75,39625
Mississippi,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,251.1,1179,529348
Wisconsin,All Types of Cancer,2020,Male,Black Non-Hispanic,Mortality,292.2,353,202631
