Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Idaho,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Pennsylvania,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Illinois,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Ohio,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Iowa,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
South Carolina,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Kentucky,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Maine,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Maryland,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Massachusetts,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Tennessee,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Indiana,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Utah,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Vermont,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Georgia,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Hawaii,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Mississippi,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Nebraska,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
West Virginia,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Arkansas,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Missouri,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Connecticut,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Wyoming,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Delaware,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Alabama,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New Hampshire,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
District of Columbia,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New Jersey,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Rhode Island,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Puerto Rico,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Texas,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,57.1,36,54440
New York,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,70.8,26,34395
Florida,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,82.7,37,30648
Louisiana,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,93.4,17,15933
Nevada,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,108.6,16,14561
Colorado,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,109,21,22018
Oregon,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,131.6,36,28463
Arizona,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,132.2,142,144658
New Mexico,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,144.4,102,90399
Michigan,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,144.7,54,34751
California,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,156.1,174,100067
Virginia,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,167.2,26,12985
North Carolina,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,172,109,59591
Washington,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,174.4,82,56041
Wisconsin,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,197.4,44,28562
Kansas,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,202.9,23,14085
Montana,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,203.5,51,34915
Oklahoma,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,230.9,343,189693
Minnesota,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,232.4,52,33605
North Dakota,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,245.1,29,20774
South Dakota,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,266.4,53,38125
Alaska,All Types of Cancer,2020,Male,American Indian and Alaska Native Non-Hispanic,Mortality,271.6,118,61032
