Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Idaho,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
North Dakota,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Rhode Island,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Maine,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
South Dakota,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Vermont,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Mississippi,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
West Virginia,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Montana,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Wyoming,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
New Mexico,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
District of Columbia,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Puerto Rico,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Ohio,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,56.1,60,158923
South Carolina,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,73,27,50831
Michigan,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,76.5,94,178955
Connecticut,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,79.3,52,88696
New Jersey,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,82.2,350,449320
Delaware,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,84.6,16,21240
Missouri,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,85.6,46,74736
North Carolina,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,86.7,93,179237
Kansas,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,87,28,49363
Virginia,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,88.6,224,309172
Alaska,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,89.8,23,30784
Indiana,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,90,44,95381
Pennsylvania,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,90.5,172,246257
Colorado,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,90.7,68,105995
Kentucky,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,92.2,23,39750
Florida,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,92.4,309,324448
Arizona,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,93.5,105,141290
Texas,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,94.2,575,792342
Alabama,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,95.8,27,38387
Georgia,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,97.2,173,243933
Maryland,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,97.5,195,207286
Arkansas,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,98.9,18,33145
Illinois,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,100.8,349,377191
Wisconsin,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,101,49,93997
New York,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,102.3,888,864793
Oklahoma,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,103.5,31,52607
Nebraska,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,104.3,17,27744
Iowa,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,108.4,20,48121
Massachusetts,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,109.3,200,252944
Nevada,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,109.5,179,142436
Washington,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,110.3,343,411553
Tennessee,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,112.7,55,70065
California,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,113.7,3835,3062540
Minnesota,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,114.6,94,154614
Oregon,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,124.7,107,114698
New Hampshire,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,137.5,16,21128
Louisiana,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,143.9,57,45424
Utah,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,144.3,53,63793
Hawaii,All Types of Cancer,2020,Male,Asian and Pacific Islander Non-Hispanic,Mortality,145.5,862,438520
