Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
North Dakota,All Types of Cancer,2020,Male,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maine,All Types of Cancer,2020,Male,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,All Types of Cancer,2020,Male,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Vermont,All Types of Cancer,2020,Male,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,All Types of Cancer,2020,Male,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,All Types of Cancer,2020,Male,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,All Types of Cancer,2020,Male,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alaska,All Types of Cancer,2020,Male,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2020,Male,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Kentucky,All Types of Cancer,2020,Male,Hispanic,Mortality,40.1,21,95904
Rhode Island,All Types of Cancer,2020,Male,Hispanic,Mortality,41.7,24,88838
Mississippi,All Types of Cancer,2020,Male,Hispanic,Mortality,60.3,17,55096
Nebraska,All Types of Cancer,2020,Male,Hispanic,Mortality,69.5,32,117281
Iowa,All Types of Cancer,2020,Male,Hispanic,Mortality,73.6,27,107197
Louisiana,All Types of Cancer,2020,Male,Hispanic,Mortality,80.5,70,133488
Arkansas,All Types of Cancer,2020,Male,Hispanic,Mortality,86,41,126568
Maryland,All Types of Cancer,2020,Male,Hispanic,Mortality,86.2,141,337275
Virginia,All Types of Cancer,2020,Male,Hispanic,Mortality,87.3,169,440423
Alabama,All Types of Cancer,2020,Male,Hispanic,Mortality,88.7,48,118671
Missouri,All Types of Cancer,2020,Male,Hispanic,Mortality,90.9,62,142172
North Carolina,All Types of Cancer,2020,Male,Hispanic,Mortality,94.4,204,540603
Indiana,All Types of Cancer,2020,Male,Hispanic,Mortality,94.7,117,258702
Tennessee,All Types of Cancer,2020,Male,Hispanic,Mortality,98.8,87,211249
Minnesota,All Types of Cancer,2020,Male,Hispanic,Mortality,99.2,74,167107
South Carolina,All Types of Cancer,2020,Male,Hispanic,Mortality,101.1,78,167955
Washington,All Types of Cancer,2020,Male,Hispanic,Mortality,102.3,231,529947
Ohio,All Types of Cancer,2020,Male,Hispanic,Mortality,103.7,134,249314
Oregon,All Types of Cancer,2020,Male,Hispanic,Mortality,105.4,123,299852
Georgia,All Types of Cancer,2020,Male,Hispanic,Mortality,106.8,255,555478
New York,All Types of Cancer,2020,Male,Hispanic,Mortality,106.9,1446,1840454
Nevada,All Types of Cancer,2020,Male,Hispanic,Mortality,107.1,271,468273
New Jersey,All Types of Cancer,2020,Male,Hispanic,Mortality,108.1,661,938398
Massachusetts,All Types of Cancer,2020,Male,Hispanic,Mortality,110.3,229,429968
Illinois,All Types of Cancer,2020,Male,Hispanic,Mortality,112.5,708,1132541
Idaho,All Types of Cancer,2020,Male,Hispanic,Mortality,116,57,121980
Wisconsin,All Types of Cancer,2020,Male,Hispanic,Mortality,117.4,103,218769
Oklahoma,All Types of Cancer,2020,Male,Hispanic,Mortality,122.1,115,235212
Connecticut,All Types of Cancer,2020,Male,Hispanic,Mortality,123.4,212,303872
Delaware,All Types of Cancer,2020,Male,Hispanic,Mortality,124,28,49353
Florida,All Types of Cancer,2020,Male,Hispanic,Mortality,126.1,3143,2839396
Utah,All Types of Cancer,2020,Male,Hispanic,Mortality,127.3,115,241646
Arizona,All Types of Cancer,2020,Male,Hispanic,Mortality,127.4,876,1189219
California,All Types of Cancer,2020,Male,Hispanic,Mortality,130,6160,7827035
Texas,All Types of Cancer,2020,Male,Hispanic,Mortality,131.6,4634,5880745
Montana,All Types of Cancer,2020,Male,Hispanic,Mortality,131.9,16,22924
Wyoming,All Types of Cancer,2020,Male,Hispanic,Mortality,136.3,25,31567
Michigan,All Types of Cancer,2020,Male,Hispanic,Mortality,137.9,190,275468
Pennsylvania,All Types of Cancer,2020,Male,Hispanic,Mortality,140.9,343,523854
New Mexico,All Types of Cancer,2020,Male,Hispanic,Mortality,145.9,654,518903
Colorado,All Types of Cancer,2020,Male,Hispanic,Mortality,150.2,507,648720
Kansas,All Types of Cancer,2020,Male,Hispanic,Mortality,156.6,126,187159
Hawaii,All Types of Cancer,2020,Male,Hispanic,Mortality,217.2,63,76090
