Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Hawaii,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Idaho,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
North Dakota,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
South Dakota,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Vermont,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Maine,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Utah,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
New Hampshire,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Montana,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Wyoming,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Alaska,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
Rhode Island,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,101.3,35,36949
New Mexico,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,120,27,21330
Massachusetts,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,120.4,343,281496
New York,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,123.8,2472,1550231
Oregon,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,124.4,46,50793
West Virginia,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,127.3,51,33787
Arizona,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,127.6,206,185879
Florida,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,128.1,2466,1810830
Washington,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,128.7,169,179298
Colorado,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,131.5,142,127925
New Jersey,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,137.1,1051,631415
Georgia,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,137.9,2588,1861860
Alabama,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,138.7,1135,713789
Arkansas,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,139.3,368,254530
Connecticut,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,139.9,313,207316
South Carolina,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,140.4,1245,752244
North Carolina,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,140.4,2027,1248249
Maryland,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,140.8,1685,1003973
Delaware,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,141.3,197,121009
Nevada,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,141.9,218,165963
Tennessee,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,143.5,919,628599
Virginia,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,145,1499,894295
Texas,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,145.8,2624,1910168
Indiana,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,145.9,506,365938
Kansas,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,146.5,129,93781
Louisiana,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,149,1317,807432
Ohio,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,149.4,1339,831883
Minnesota,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,149.4,180,214721
California,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,151.6,2233,1226724
Michigan,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,153.8,1339,764873
Illinois,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,155.6,1816,979696
Missouri,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,156.4,668,397133
District of Columbia,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,160.9,386,176062
Pennsylvania,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,161,1392,765971
Mississippi,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,162,1052,599048
Oklahoma,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,171.2,265,169790
Wisconsin,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,171.5,277,207672
Kentucky,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,171.7,346,201371
Iowa,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,178.3,63,69878
Nebraska,All Types of Cancer,2020,Female,Black Non-Hispanic,Mortality,182.6,70,53392
