Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
North Dakota,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Rhode Island,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Maine,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
South Dakota,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Vermont,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Mississippi,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Nebraska,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
West Virginia,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
New Hampshire,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Montana,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Wyoming,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Delaware,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
District of Columbia,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Puerto Rico,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Indiana,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,56.5,38,94607
New Jersey,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,63.4,318,471512
Connecticut,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,64.1,53,94152
Colorado,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,64.8,72,120762
Alabama,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,66.9,27,43697
South Carolina,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,68.1,36,56200
Illinois,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,69.3,302,403247
Michigan,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,70,107,182612
Virginia,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,70.6,232,340918
Washington,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,72.8,324,449166
Missouri,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,73.2,50,80726
New York,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,73.4,782,947430
Louisiana,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,73.6,35,46876
Maryland,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,74.2,189,228601
Massachusetts,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,74.2,168,273996
Kentucky,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,75,23,42260
Arizona,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,75.9,124,155583
Ohio,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,79,99,168157
New Mexico,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,79.5,19,21211
Iowa,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,81.3,24,46692
Texas,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,81.8,608,833619
North Carolina,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,81.8,119,189392
Florida,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,82.5,364,375483
California,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,85.6,3773,3360054
Oregon,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,86.7,109,129347
Georgia,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,86.8,191,260473
Pennsylvania,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,87.8,198,261574
Tennessee,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,88.8,52,76749
Nevada,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,90.7,208,170576
Utah,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,94.5,47,66650
Wisconsin,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,94.8,58,97876
Arkansas,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,96.2,23,33670
Hawaii,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,97.4,768,473934
Kansas,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,104.4,41,51413
Alaska,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,106.3,34,32955
Oklahoma,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,107.6,50,57136
Idaho,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,109.9,19,19086
Minnesota,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Mortality,114,111,161114
