Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
District of Columbia,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,2.3,112,3281538
Hawaii,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,2.7,50,1407006
New York,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,3.8,925,19336776
New Mexico,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,3.9,104,2106319
North Dakota,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4,36,765309
North Carolina,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4,516,10600823
New Jersey,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4,451,8882371
Alaska,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4,31,731158
Delaware,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.1,52,986809
Colorado,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.1,273,5807719
Louisiana,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.2,234,4645318
Texas,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.2,1272,29360759
Arizona,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.2,392,7421401
Idaho,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.3,98,1826913
Illinois,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.3,660,12587530
Maryland,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.3,313,6055802
Florida,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.4,1368,21733312
Georgia,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.4,529,10710017
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,762,12783254
Ohio,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,667,11693217
Indiana,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,368,6754953
Iowa,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,179,3163561
Massachusetts,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,410,6893574
West Virginia,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,112,1784787
Nevada,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,169,3138259
Rhode Island,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,63,1057125
Virginia,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.6,469,8590563
Minnesota,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.6,310,5657342
California,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.6,2094,39368078
South Carolina,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.7,323,5218040
Kentucky,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.7,267,4477251
Oregon,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.7,258,4241507
South Dakota,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.7,51,892717
Wisconsin,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.7,366,5832655
Tennessee,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.8,407,6886834
Oklahoma,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.9,228,3980783
Michigan,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.9,626,9966555
Washington,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.9,445,7693612
Mississippi,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.9,174,2966786
Missouri,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,4.9,375,6151548
Wyoming,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5,35,582328
Connecticut,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5,240,3557006
Alabama,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5,315,4921532
Kansas,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5.2,179,2913805
Montana,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5.2,71,1080577
Arkansas,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5.2,201,3030522
Utah,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5.3,157,3249879
Maine,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5.4,109,1350141
Nebraska,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5.6,125,1937552
New Hampshire,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5.8,111,1366275
Vermont,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Mortality,5.9,50,623347
