Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
District of Columbia,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,,,
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,,,
North Dakota,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.4,36,646724
North Carolina,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.4,416,6711126
Colorado,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.4,236,3988030
Delaware,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.4,41,613617
Rhode Island,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.5,55,761395
New Jersey,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.6,346,4869242
Indiana,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.7,333,5333871
Iowa,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.7,173,2703472
West Virginia,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.7,110,1658328
Wisconsin,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.7,333,4747166
New York,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.7,715,10800896
Alaska,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.7,27,461177
Idaho,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.8,96,1512401
Ohio,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.8,604,9245719
Kentucky,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.8,245,3805077
Louisiana,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.8,181,2734948
Minnesota,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.8,288,4513407
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,4.9,700,9738852
Hawaii,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5,23,305879
Massachusetts,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5,371,4934739
Arizona,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5,323,4075422
Illinois,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.1,550,7710316
South Carolina,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.1,255,3361934
Florida,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.1,1029,11730894
South Dakota,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.1,50,734516
Wyoming,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.1,32,493371
Oregon,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.2,244,3250213
Tennessee,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.2,359,5123255
Maryland,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.3,233,3065729
Texas,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.3,880,12233845
New Mexico,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.3,63,783475
Oklahoma,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.4,199,2691420
Virginia,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.4,381,5337294
Georgia,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.4,404,5619010
Washington,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.4,398,5303363
Maine,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.4,106,1267607
Missouri,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.4,349,4927676
Connecticut,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.4,205,2354601
Michigan,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.5,563,7534869
Mississippi,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.5,131,1686946
Kansas,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.5,158,2227690
Utah,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.6,144,2564620
Montana,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.6,70,942577
Nebraska,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.7,112,1527461
Vermont,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.8,48,583409
Nevada,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,5.9,139,1541542
New Hampshire,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,6,109,1235857
Alabama,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,6,274,3250825
Arkansas,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,6,186,2209564
California,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Mortality,6.1,1341,14721680
