Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
North Dakota,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Hawaii,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Idaho,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Iowa,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Rhode Island,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Oklahoma,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Massachusetts,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
South Dakota,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Utah,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Vermont,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Washington,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Maine,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Kansas,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Minnesota,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Nebraska,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
West Virginia,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Nevada,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
New Hampshire,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Montana,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Colorado,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Wyoming,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Connecticut,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Delaware,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
New Mexico,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
District of Columbia,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Arkansas,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Alaska,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Oregon,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Arizona,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,,,
Ohio,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.4,37,1601597
Georgia,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.4,81,3490446
New York,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.4,77,2913569
Florida,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.5,86,3491048
Louisiana,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.6,40,1532912
Alabama,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.6,39,1331864
Illinois,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.7,52,1851058
Maryland,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.7,56,1881723
Missouri,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.7,20,758249
Indiana,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.8,19,709558
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.8,44,1480541
Texas,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.9,99,3699914
Michigan,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,2.9,45,1456824
Tennessee,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,3.1,35,1191073
North Carolina,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,3.1,77,2344295
Virginia,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,3.1,57,1721838
South Carolina,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,3.4,53,1407964
New Jersey,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,3.4,44,1199960
Mississippi,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,3.7,42,1128396
California,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,4.3,108,2449179
Kentucky,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,4.6,17,401092
Wisconsin,Brain and Other Nervous System,2020,Male and Female,Black Non-Hispanic,Mortality,5.8,20,410303
