Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Idaho,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Illinois,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
North Dakota,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Ohio,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Iowa,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Florida,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Kansas,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
South Carolina,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Maine,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Kentucky,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Tennessee,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Louisiana,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Texas,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Oklahoma,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Maryland,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Massachusetts,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
North Carolina,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
South Dakota,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Oregon,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Indiana,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Utah,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Vermont,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Georgia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Washington,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Michigan,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Hawaii,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Minnesota,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Mississippi,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Nebraska,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
West Virginia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Arkansas,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Nevada,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Missouri,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Wisconsin,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Montana,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Virginia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Colorado,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Connecticut,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Wyoming,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Delaware,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New Mexico,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Alabama,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New York,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
District of Columbia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New Hampshire,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Alaska,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
New Jersey,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
California,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Rhode Island,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Arizona,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Mortality,,,
