Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Idaho,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Illinois,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
North Dakota,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Ohio,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Iowa,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Rhode Island,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
South Carolina,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Kentucky,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Tennessee,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Louisiana,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Maine,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Oklahoma,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
North Carolina,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Maryland,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Massachusetts,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
South Dakota,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Indiana,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Utah,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Vermont,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Georgia,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Washington,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Michigan,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Kansas,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Minnesota,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
West Virginia,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Nebraska,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Mississippi,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
New Hampshire,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Nevada,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Missouri,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Wisconsin,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Montana,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Virginia,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Colorado,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Connecticut,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Wyoming,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Delaware,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
New Mexico,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
Alabama,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
District of Columbia,Brain and Other Nervous System,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Mortality,,,
