Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
District of Columbia,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Alaska,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,Data not presented,Data not presented,Data not presented
Hawaii,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,2.2,22,702640
Puerto Rico,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,2.2,60,1726244
New Mexico,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,2.9,42,1063860
New York,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3,398,9946279
Colorado,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3,107,2881832
Rhode Island,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.2,25,542433
Georgia,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.3,217,5508468
Texas,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.3,541,14779708
Maine,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.3,38,688840
Massachusetts,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.3,170,3546542
North Carolina,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.3,233,5448241
Arizona,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.3,163,3735475
New Jersey,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.4,210,4539322
Illinois,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.5,295,6402224
Ohio,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.5,273,5960556
Florida,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.5,605,11113132
Louisiana,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.5,106,2381158
Minnesota,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.5,125,2838748
Maryland,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.5,136,3123228
South Dakota,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.6,20,442058
Connecticut,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.6,97,1822086
Pennsylvania,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.7,345,6516212
South Carolina,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.7,137,2694628
Michigan,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.7,251,5058742
Washington,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.7,179,3840014
West Virginia,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.7,52,900511
California,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.7,894,19790589
Tennessee,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.8,170,3528814
Virginia,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.8,211,4363032
Missouri,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.8,159,3133825
North Dakota,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.9,19,373494
Kentucky,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,3.9,116,2271906
Iowa,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4,80,1587866
Oregon,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4,118,2139046
Wisconsin,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4,164,2928939
Nevada,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4,79,1565619
Indiana,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.1,178,3422994
Kansas,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.1,73,1462265
Mississippi,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.2,80,1530971
Delaware,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.2,29,510069
Alabama,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.2,148,2544566
Wyoming,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.3,16,285437
Oklahoma,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.4,111,2009602
Montana,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.4,32,536476
New Hampshire,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.4,46,689281
Arkansas,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.4,88,1543666
Idaho,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.5,52,910789
Utah,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.8,73,1612139
Nebraska,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,4.8,57,969739
Vermont,Brain and Other Nervous System,2020,Female,All Races and Ethnicities,Mortality,5.7,25,315355
