Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Utah,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,10.1,293,3249879
Massachusetts,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,10.3,925,6893574
Connecticut,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,10.6,527,3557006
New Hampshire,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,10.8,204,1366275
Montana,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,10.9,164,1080577
Idaho,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.1,234,1826913
Washington,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.1,1001,7693612
Wisconsin,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.1,851,5832655
Oregon,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.2,618,4241507
Rhode Island,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.2,164,1057125
New York,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.3,2866,19336776
Colorado,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.3,722,5807719
Hawaii,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.4,229,1407006
Florida,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.6,3800,21733312
Minnesota,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.7,814,5657342
California,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.8,5401,39368078
Arizona,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,11.8,1147,7421401
North Carolina,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,12.1,1584,10600823
New Jersey,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,12.1,1413,8882371
New Mexico,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,12.2,328,2106319
Delaware,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,12.3,171,986809
Maryland,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,12.5,946,6055802
Missouri,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,12.5,1008,6151548
North Dakota,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,12.6,117,765309
Virginia,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,12.9,1344,8590563
Pennsylvania,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13,2342,12783254
Iowa,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13,547,3163561
South Dakota,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13,154,892717
Nevada,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.1,490,3138259
South Carolina,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.2,897,5218040
Puerto Rico,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.2,662,3281538
Illinois,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.3,2071,12587530
Texas,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.3,4026,29360759
Georgia,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.4,1606,10710017
Maine,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.6,280,1350141
Michigan,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.7,1791,9966555
Arkansas,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.7,535,3030522
Ohio,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.8,2122,11693217
District of Columbia,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.8,99,712816
Vermont,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,13.9,125,623347
Alabama,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,14,885,4921532
Indiana,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,14.1,1165,6754953
Wyoming,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,14.1,105,582328
Tennessee,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,14.2,1210,6886834
Nebraska,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,14.4,344,1937552
Louisiana,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,14.5,821,4645318
Kansas,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,14.6,531,2913805
Kentucky,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,15.6,886,4477251
Alaska,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,15.8,108,731158
West Virginia,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,16.2,434,1784787
Oklahoma,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,16.6,794,3980783
Mississippi,Colon and Rectum,2020,Male and Female,All Races and Ethnicities,Mortality,17.2,630,2966786
