Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,1.9,97,3281538
Utah,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,2.4,72,3249879
Hawaii,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,2.4,50,1407006
Alaska,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,2.8,22,731158
California,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,2.8,1321,39368078
New Jersey,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.1,371,8882371
New York,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.1,815,19336776
Arizona,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.1,313,7421401
Texas,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.2,977,29360759
New Mexico,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.2,96,2106319
Florida,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.3,1140,21733312
North Carolina,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.3,454,10600823
Georgia,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.4,420,10710017
Maryland,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.4,264,6055802
Virginia,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.4,370,8590563
Colorado,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.4,228,5807719
Connecticut,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.5,178,3557006
Nevada,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.6,143,3138259
Alabama,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.6,238,4921532
Louisiana,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.7,218,4645318
Washington,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.7,363,7693612
Delaware,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.7,54,986809
District of Columbia,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.7,27,712816
Idaho,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.8,84,1826913
Mississippi,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.8,148,2966786
Arkansas,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.8,157,3030522
South Carolina,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.9,276,5218040
South Dakota,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.9,49,892717
Minnesota,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,3.9,284,5657342
Rhode Island,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4,59,1057125
Illinois,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.1,677,12587530
Oklahoma,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.1,209,3980783
Massachusetts,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.2,392,6893574
Montana,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.2,62,1080577
New Hampshire,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.2,83,1366275
Ohio,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.3,680,11693217
Tennessee,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.3,391,6886834
Missouri,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.3,352,6151548
Wisconsin,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.3,346,5832655
Pennsylvania,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.4,811,12783254
North Dakota,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.4,40,765309
Nebraska,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.4,110,1937552
Kansas,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,163,2913805
Oregon,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,263,4241507
Michigan,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.5,638,9966555
Iowa,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.7,204,3163561
Kentucky,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.7,273,4477251
Indiana,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,4.8,412,6754953
Maine,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,5,110,1350141
Vermont,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,5.7,55,623347
Wyoming,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,5.7,45,582328
West Virginia,Esophagus,2020,Male and Female,All Races and Ethnicities,Mortality,6.1,166,1784787
