Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,,,
Indiana,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,299.4,14162,3281538
New Mexico,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,332,9031,2106319
Arizona,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,336.8,32171,7421401
California,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,360.2,163726,39368078
Colorado,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,363.2,24208,5807719
District of Columbia,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,364.5,2585,712816
Oregon,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,365.4,20141,4241507
Virginia,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,375.9,39596,8590563
Texas,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,379.6,116873,29360759
Utah,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,384.6,11605,3249879
Wyoming,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,385.1,2853,582328
Hawaii,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,388.3,7285,1407006
Washington,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,391,36017,7693612
Massachusetts,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,391.3,34735,6893574
South Carolina,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,394.5,27362,5218040
Rhode Island,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,396.1,5552,1057125
Michigan,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,396.4,51988,9966555
Alabama,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,399.9,25348,4921532
Nebraska,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,401,9281,1937552
Delaware,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,401.1,5535,986809
Alaska,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,401.4,3110,731158
Arkansas,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,401.4,15479,3030522
Maryland,All Types of Cancer,2020,Male and Female,All Races and Ethnicities,Incidence,407.5,30603,6055802
