Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,All Types of Cancer,2020,Male,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
North Dakota,All Types of Cancer,2020,Male,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Vermont,All Types of Cancer,2020,Male,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Maine,All Types of Cancer,2020,Male,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Indiana,All Types of Cancer,2020,Male,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Wisconsin,All Types of Cancer,2020,Male,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2020,Male,Hispanic,Incidence,Data not presented,Data not presented,Data not presented
Mississippi,All Types of Cancer,2020,Male,Hispanic,Incidence,166.5,59,55096
West Virginia,All Types of Cancer,2020,Male,Hispanic,Incidence,182.2,21,17143
Alabama,All Types of Cancer,2020,Male,Hispanic,Incidence,211.6,144,118671
Missouri,All Types of Cancer,2020,Male,Hispanic,Incidence,218.4,184,142172
Virginia,All Types of Cancer,2020,Male,Hispanic,Incidence,222.1,546,440423
Arkansas,All Types of Cancer,2020,Male,Hispanic,Incidence,222.7,131,126568
Delaware,All Types of Cancer,2020,Male,Hispanic,Incidence,249.5,73,49353
Maryland,All Types of Cancer,2020,Male,Hispanic,Incidence,251.8,478,337275
District of Columbia,All Types of Cancer,2020,Male,Hispanic,Incidence,252.2,60,40965
Tennessee,All Types of Cancer,2020,Male,Hispanic,Incidence,258.5,288,211249
Alaska,All Types of Cancer,2020,Male,Hispanic,Incidence,263.8,36,28189
Oregon,All Types of Cancer,2020,Male,Hispanic,Incidence,266.2,425,299852
Arizona,All Types of Cancer,2020,Male,Hispanic,Incidence,268.3,2102,1189219
Iowa,All Types of Cancer,2020,Male,Hispanic,Incidence,270.4,147,107197
Louisiana,All Types of Cancer,2020,Male,Hispanic,Incidence,271.5,256,133488
Oklahoma,All Types of Cancer,2020,Male,Hispanic,Incidence,277,323,235212
Kentucky,All Types of Cancer,2020,Male,Hispanic,Incidence,278.8,140,95904
Michigan,All Types of Cancer,2020,Male,Hispanic,Incidence,279.4,455,275468
North Carolina,All Types of Cancer,2020,Male,Hispanic,Incidence,279.9,736,540603
Washington,All Types of Cancer,2020,Male,Hispanic,Incidence,285.2,741,529947
Ohio,All Types of Cancer,2020,Male,Hispanic,Incidence,288.8,406,249314
Nebraska,All Types of Cancer,2020,Male,Hispanic,Incidence,295.3,172,117281
Montana,All Types of Cancer,2020,Male,Hispanic,Incidence,296.8,40,22924
New Hampshire,All Types of Cancer,2020,Male,Hispanic,Incidence,297.8,46,29859
Texas,All Types of Cancer,2020,Male,Hispanic,Incidence,303.1,12008,5880745
New Mexico,All Types of Cancer,2020,Male,Hispanic,Incidence,308.5,1493,518903
California,All Types of Cancer,2020,Male,Hispanic,Incidence,308.8,16868,7827035
Wyoming,All Types of Cancer,2020,Male,Hispanic,Incidence,311.6,71,31567
Illinois,All Types of Cancer,2020,Male,Hispanic,Incidence,311.6,2307,1132541
Rhode Island,All Types of Cancer,2020,Male,Hispanic,Incidence,324.8,183,88838
Colorado,All Types of Cancer,2020,Male,Hispanic,Incidence,327.9,1333,648720
Kansas,All Types of Cancer,2020,Male,Hispanic,Incidence,328.8,324,187159
Georgia,All Types of Cancer,2020,Male,Hispanic,Incidence,329.9,954,555478
Minnesota,All Types of Cancer,2020,Male,Hispanic,Incidence,343.8,279,167107
Idaho,All Types of Cancer,2020,Male,Hispanic,Incidence,346.5,221,121980
Florida,All Types of Cancer,2020,Male,Hispanic,Incidence,352.1,9407,2839396
Connecticut,All Types of Cancer,2020,Male,Hispanic,Incidence,358.9,723,303872
New York,All Types of Cancer,2020,Male,Hispanic,Incidence,360.7,5426,1840454
South Dakota,All Types of Cancer,2020,Male,Hispanic,Incidence,362.5,33,21145
Utah,All Types of Cancer,2020,Male,Hispanic,Incidence,364.7,430,241646
Massachusetts,All Types of Cancer,2020,Male,Hispanic,Incidence,364.9,965,429968
Pennsylvania,All Types of Cancer,2020,Male,Hispanic,Incidence,368.8,1048,523854
New Jersey,All Types of Cancer,2020,Male,Hispanic,Incidence,383.7,2674,938398
South Carolina,All Types of Cancer,2020,Male,Hispanic,Incidence,435,339,167955
Hawaii,All Types of Cancer,2020,Male,Hispanic,Incidence,446.6,160,76090
