Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
Indiana,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
Puerto Rico,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,280.3,6838,1726244
New Mexico,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,322.2,4464,1063860
Arizona,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,328.1,15946,3735475
California,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,347.1,82115,19790589
Colorado,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,351.7,12018,2881832
District of Columbia,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,354.2,1377,374884
Texas,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,354.5,57242,14779708
Utah,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,356.9,5492,1612139
Virginia,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,365.2,20055,4363032
Oregon,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,366.6,10343,2139046
South Carolina,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,367,13297,2694628
Mississippi,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,368.9,7173,1530971
Michigan,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,370.6,25055,5058742
Arkansas,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,370.6,7382,1543666
Alabama,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,371.9,12379,2544566
Massachusetts,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,375.5,17602,3546542
Hawaii,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,377.2,3546,702640
Wyoming,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,378.3,1342,285437
Delaware,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,378.5,2689,510069
Tennessee,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,381.1,17417,3528814
Montana,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,382.2,2753,536476
Alaska,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,382.4,1447,349621
Washington,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,383.5,18086,3840014
Oklahoma,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,385.3,9518,2009602
Nebraska,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,388.4,4558,969739
Louisiana,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,389.3,11582,2381158
Idaho,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,389.7,4285,910789
Maryland,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,390.3,15600,3123228
Rhode Island,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,393.1,2890,542433
Georgia,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,394,25792,5508468
Pennsylvania,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,396.6,35982,6516212
North Dakota,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,396.6,1767,373494
Florida,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,397.1,64100,11113132
Illinois,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,397.3,32411,6402224
Kansas,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,398.3,7223,1462265
North Carolina,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,401,28271,5448241
Vermont,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,402.9,1798,315355
Wisconsin,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,403.7,15606,2928939
New York,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,404.3,52785,9946279
Ohio,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,404.9,31857,5960556
South Dakota,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,405.7,2220,442058
Connecticut,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,406.7,10089,1822086
Missouri,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,406.7,16745,3133825
New Jersey,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,411.9,24693,4539322
New Hampshire,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,413.1,4029,689281
Maine,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,417.6,4360,688840
Minnesota,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,419.2,14915,2838748
Iowa,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,425.3,8748,1587866
West Virginia,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,433.2,5587,900511
Kentucky,All Types of Cancer,2020,Female,All Races and Ethnicities,Incidence,433.3,12668,2271906
