Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Maine,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,,,
Montana,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,,,
Indiana,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,,,
South Dakota,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,,,
Nevada,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,,,
Idaho,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,,,
Wyoming,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,,,
North Dakota,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,,,
Alaska,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,241.9,26,14145
Utah,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,250.2,28,21581
Hawaii,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,280.1,27,15063
New Mexico,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,285.4,60,21330
New Hampshire,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,287.6,20,11231
Arizona,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,306.3,517,185879
Massachusetts,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,322.5,914,281496
Washington,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,323.2,455,179298
Rhode Island,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,325.3,113,36949
Delaware,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,337.2,460,121009
Tennessee,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,339.4,2248,628599
Nebraska,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,341.8,144,53392
Florida,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,344.2,6614,1810830
South Carolina,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,345.6,3039,752244
Michigan,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,346.3,2977,764873
California,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,346.6,4963,1226724
New York,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,349.3,6664,1550231
Oregon,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,349.9,136,50793
Virginia,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,355.3,3666,894295
Alabama,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,355.5,2868,713789
Connecticut,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,358.1,807,207316
Colorado,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,360.5,414,127925
Arkansas,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,363.6,956,254530
Texas,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,363.8,6872,1910168
Mississippi,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,366.3,2375,599048
Ohio,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,369.6,3256,831883
Georgia,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,370.9,7193,1861860
Pennsylvania,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,371.7,3137,765971
Maryland,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,373.2,4464,1003973
Minnesota,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,373.3,516,214721
West Virginia,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,374,138,33787
Illinois,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,376.5,4298,979696
North Carolina,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,380.2,5472,1248249
Louisiana,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,381,3346,807432
Oklahoma,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,384.3,621,169790
District of Columbia,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,389.5,868,176062
New Jersey,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,392.2,2927,631415
Missouri,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,401.1,1694,397133
Kentucky,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,417.7,840,201371
Kansas,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,418.4,361,93781
Wisconsin,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,443.1,771,207672
Iowa,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,451.3,188,69878
Vermont,All Types of Cancer,2020,Female,Black Non-Hispanic,Incidence,584.1,16,4646
