Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Montana,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
Indiana,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
Nevada,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
Vermont,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
Wyoming,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
North Dakota,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
District of Columbia,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,175.5,29,19866
New Hampshire,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,194,40,22939
South Carolina,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,204.4,119,56200
Missouri,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,211.2,153,80726
Nebraska,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,212.6,49,28926
New Mexico,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,213.6,55,21211
Connecticut,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,214.3,193,94152
Mississippi,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,217.1,43,19051
Kentucky,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,219.7,81,42260
Michigan,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,224.7,381,182612
Wisconsin,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,225.3,158,97876
Arizona,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,227.2,384,155583
Massachusetts,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,228,584,273996
Ohio,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,232.1,353,168157
Pennsylvania,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,233.5,581,261574
Tennessee,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,234.2,171,76749
Virginia,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,236.9,845,340918
Texas,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,237.4,1951,833619
Louisiana,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,245.7,120,46876
Illinois,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,247.2,1082,403247
North Carolina,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,250.2,412,189392
Delaware,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,253.7,59,22108
Georgia,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,255.5,644,260473
Idaho,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,256.8,47,19086
Florida,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,258.2,1158,375483
Alabama,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,258.9,112,43697
Maryland,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,259.8,681,228601
Rhode Island,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,263.8,46,20812
New Jersey,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,266.7,1368,471512
Colorado,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,271.9,320,120762
California,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,276.6,11514,3360054
Minnesota,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,277.3,327,161114
Kansas,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,277.7,124,51413
Oregon,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,278,366,129347
Washington,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,280.4,1290,449166
Utah,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,281.5,158,66650
Maine,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,290.7,31,10852
Oklahoma,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,296.2,157,57136
Iowa,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,301,106,46692
Arkansas,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,303.8,85,33670
New York,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,305.5,3269,947430
West Virginia,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,308.6,30,8939
Alaska,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,311.1,106,32955
Hawaii,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,375.9,2427,473934
South Dakota,All Types of Cancer,2020,Female,Asian and Pacific Islander Non-Hispanic,Incidence,427.6,26,8500
