Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,All Types of Cancer,2020,Female,Hispanic,Incidence,,,
North Dakota,All Types of Cancer,2020,Female,Hispanic,Incidence,,,
Vermont,All Types of Cancer,2020,Female,Hispanic,Incidence,,,
Indiana,All Types of Cancer,2020,Female,Hispanic,Incidence,,,
Wisconsin,All Types of Cancer,2020,Female,Hispanic,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Female,Hispanic,Incidence,,,
West Virginia,All Types of Cancer,2020,Female,Hispanic,Incidence,136.5,16,14856
Mississippi,All Types of Cancer,2020,Female,Hispanic,Incidence,166,46,44894
Arkansas,All Types of Cancer,2020,Female,Hispanic,Incidence,195.4,138,116595
Alabama,All Types of Cancer,2020,Female,Hispanic,Incidence,198.6,139,107886
South Dakota,All Types of Cancer,2020,Female,Hispanic,Incidence,229.1,21,18459
Montana,All Types of Cancer,2020,Female,Hispanic,Incidence,229.6,34,22036
Missouri,All Types of Cancer,2020,Female,Hispanic,Incidence,229.9,216,133900
Maine,All Types of Cancer,2020,Female,Hispanic,Incidence,233,22,12256
Tennessee,All Types of Cancer,2020,Female,Hispanic,Incidence,239.9,275,193161
Alaska,All Types of Cancer,2020,Female,Hispanic,Incidence,246.4,40,25367
New Hampshire,All Types of Cancer,2020,Female,Hispanic,Incidence,247.5,50,27608
Virginia,All Types of Cancer,2020,Female,Hispanic,Incidence,248.6,749,414878
Maryland,All Types of Cancer,2020,Female,Hispanic,Incidence,251.8,590,317162
Wyoming,All Types of Cancer,2020,Female,Hispanic,Incidence,258.7,57,28712
Iowa,All Types of Cancer,2020,Female,Hispanic,Incidence,265.6,149,98759
Kentucky,All Types of Cancer,2020,Female,Hispanic,Incidence,267.4,140,83373
Arizona,All Types of Cancer,2020,Female,Hispanic,Incidence,269.8,2539,1177700
District of Columbia,All Types of Cancer,2020,Female,Hispanic,Incidence,271.8,84,40150
Texas,All Types of Cancer,2020,Female,Hispanic,Incidence,279,13146,5811112
Louisiana,All Types of Cancer,2020,Female,Hispanic,Incidence,285.6,278,119146
Michigan,All Types of Cancer,2020,Female,Hispanic,Incidence,292.2,535,266637
Ohio,All Types of Cancer,2020,Female,Hispanic,Incidence,296.1,479,238770
New Mexico,All Types of Cancer,2020,Female,Hispanic,Incidence,298,1607,527189
North Carolina,All Types of Cancer,2020,Female,Hispanic,Incidence,298.9,911,511832
California,All Types of Cancer,2020,Female,Hispanic,Incidence,299.2,19608,7742745
Oregon,All Types of Cancer,2020,Female,Hispanic,Incidence,304.3,532,279984
Washington,All Types of Cancer,2020,Female,Hispanic,Incidence,304.4,906,497598
Oklahoma,All Types of Cancer,2020,Female,Hispanic,Incidence,311.8,398,217275
Illinois,All Types of Cancer,2020,Female,Hispanic,Incidence,320.4,2676,1087207
Colorado,All Types of Cancer,2020,Female,Hispanic,Incidence,324.6,1572,625527
New Jersey,All Types of Cancer,2020,Female,Hispanic,Incidence,324.9,2790,936258
Florida,All Types of Cancer,2020,Female,Hispanic,Incidence,325.3,10650,2910341
New York,All Types of Cancer,2020,Female,Hispanic,Incidence,325.6,6199,1898467
Pennsylvania,All Types of Cancer,2020,Female,Hispanic,Incidence,329.9,1181,508773
Idaho,All Types of Cancer,2020,Female,Hispanic,Incidence,330.5,251,115292
Nebraska,All Types of Cancer,2020,Female,Hispanic,Incidence,331.8,215,108311
Kansas,All Types of Cancer,2020,Female,Hispanic,Incidence,333.4,364,175079
Georgia,All Types of Cancer,2020,Female,Hispanic,Incidence,335.6,1103,512463
Delaware,All Types of Cancer,2020,Female,Hispanic,Incidence,336.9,108,47725
Massachusetts,All Types of Cancer,2020,Female,Hispanic,Incidence,339.9,1166,437457
Rhode Island,All Types of Cancer,2020,Female,Hispanic,Incidence,340.2,231,87633
South Carolina,All Types of Cancer,2020,Female,Hispanic,Incidence,356.9,330,152106
Connecticut,All Types of Cancer,2020,Female,Hispanic,Incidence,377.7,932,309057
Minnesota,All Types of Cancer,2020,Female,Hispanic,Incidence,405.1,350,154579
Utah,All Types of Cancer,2020,Female,Hispanic,Incidence,432.5,611,230001
Hawaii,All Types of Cancer,2020,Female,Hispanic,Incidence,503.1,216,71784
