Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Indiana,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,,,
Nevada,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,,,
North Dakota,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,,,
District of Columbia,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,314.7,786,274011
New Mexico,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,342,4829,783475
Arizona,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,361.1,24691,4075422
Colorado,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,367,19365,3988030
Oregon,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,372.6,17826,3250213
Utah,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,381.9,9899,2564620
Virginia,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,385.9,28730,5337294
Washington,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,393.1,29234,5303363
Wyoming,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,393.6,2645,493371
Michigan,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,394.6,42684,7534869
Massachusetts,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,399.5,29155,4934739
South Carolina,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,399.8,20115,3361934
California,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,401.3,91427,14721680
Nebraska,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,401.9,8240,1527461
Montana,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,403.6,5534,942577
Alabama,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,404,18758,3250825
Rhode Island,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,405.3,4755,761395
Oklahoma,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,406.9,15509,2691420
Alaska,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,407.1,2281,461177
Delaware,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,407.4,4186,613617
Mississippi,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,412.2,9956,1686946
Arkansas,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,412.6,13011,2209564
Tennessee,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,413.7,29667,5123255
Kansas,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,417.7,12720,2227690
Pennsylvania,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,417.7,61563,9738852
Vermont,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,420.4,3596,583409
Idaho,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,424.5,8425,1512401
South Dakota,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,425.4,4330,734516
Texas,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,426.6,72338,12233845
Missouri,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,428.4,29228,4927676
New Hampshire,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,428.6,7829,1235857
Connecticut,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,431.7,16041,2354601
Ohio,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,432.9,56065,9245719
Wisconsin,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,433.4,29899,4747166
North Carolina,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,433.9,42512,6711126
Maryland,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,435.8,19471,3065729
Minnesota,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,439,27576,4513407
Illinois,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,440.4,48901,7710316
Louisiana,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,440.5,16704,2734948
Hawaii,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,440.8,2176,305879
Florida,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,448.1,93344,11730894
Maine,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,451.6,8894,1267607
West Virginia,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,451.6,10977,1658328
Georgia,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,453.3,35223,5619010
Iowa,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,456.2,17218,2703472
New York,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,461,73184,10800896
Kentucky,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,467.8,23833,3805077
New Jersey,All Types of Cancer,2020,Male and Female,White Non-Hispanic,Incidence,471.7,35286,4869242
