Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,,,
Indiana,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,,,
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,4.1,165,3281538
New Mexico,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,4.2,103,2106319
Hawaii,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,4.5,73,1407006
South Dakota,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5,50,892717
Mississippi,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.1,173,2966786
Louisiana,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.4,274,4645318
South Carolina,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.6,356,5218040
Idaho,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.6,119,1826913
California,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.7,2447,39368078
Oklahoma,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.7,257,3980783
Texas,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.7,1738,29360759
Georgia,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.8,680,10710017
Michigan,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.8,683,9966555
Ohio,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.9,821,11693217
District of Columbia,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.9,40,712816
Virginia,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,5.9,573,8590563
Arizona,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6,512,7421401
Illinois,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6,858,12587530
Arkansas,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6,211,3030522
North Carolina,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.1,751,10600823
Maryland,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.1,419,6055802
Nebraska,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.1,133,1937552
Kansas,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.2,198,2913805
Massachusetts,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.2,503,6893574
Oregon,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.2,308,4241507
Tennessee,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.2,500,6886834
New York,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.2,1362,19336776
Colorado,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.3,404,5807719
Alaska,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.3,50,731158
Florida,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.3,1726,21733312
Vermont,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.3,55,623347
Wisconsin,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.3,449,5832655
North Dakota,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.4,53,765309
Kentucky,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.4,342,4477251
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.4,996,12783254
Delaware,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.5,76,986809
Rhode Island,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.5,82,1057125
Missouri,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.5,466,6151548
Montana,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.6,85,1080577
New Jersey,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.6,683,8882371
Minnesota,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.6,419,5657342
Washington,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.6,555,7693612
Iowa,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.7,250,3163561
Wyoming,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.7,44,582328
West Virginia,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.7,145,1784787
New Hampshire,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,6.8,114,1366275
Utah,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,7,219,3249879
Alabama,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,7,395,4921532
Maine,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,7,134,1350141
Connecticut,Brain and Other Nervous System,2020,Male and Female,All Races and Ethnicities,Incidence,7.1,304,3557006
