Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Indiana,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,,,
Nevada,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,,,
North Dakota,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,,,
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,,,
New Mexico,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,5.1,58,783475
South Dakota,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,5.2,46,734516
Mississippi,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,5.7,126,1686946
Oklahoma,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,5.8,199,2691420
Idaho,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,5.8,107,1512401
Louisiana,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6,195,2734948
Vermont,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.2,52,583409
Michigan,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.2,582,7534869
Montana,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.4,77,942577
South Carolina,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.4,279,3361934
Wisconsin,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.4,395,4747166
Nebraska,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.5,118,1527461
Ohio,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.5,739,9245719
Massachusetts,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.6,422,4934739
Kansas,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.6,171,2227690
North Carolina,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.6,569,6711126
Virginia,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.6,436,5337294
Arkansas,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.7,184,2209564
West Virginia,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.7,136,1658328
Kentucky,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.8,323,3805077
Oregon,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.8,281,3250213
District of Columbia,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.8,17,274011
Minnesota,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.8,372,4513407
Florida,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.9,1178,11730894
New York,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.9,937,10800896
Tennessee,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.9,432,5123255
Colorado,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.9,329,3988030
New Hampshire,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.9,108,1235857
Wyoming,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,6.9,39,493371
Maine,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7,129,1267607
Missouri,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7,422,4927676
Hawaii,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7,30,305879
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7,886,9738852
California,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.1,1384,14721680
Utah,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.1,184,2564620
Georgia,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.2,503,5619010
Iowa,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.2,240,2703472
Alaska,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.2,41,461177
Arizona,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.2,386,4075422
Illinois,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.2,691,7710316
Texas,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.2,1079,12233845
Rhode Island,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.3,73,761395
Washington,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.3,466,5303363
New Jersey,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.4,472,4869242
Delaware,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.4,60,613617
Alabama,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.8,309,3250825
Maryland,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,7.8,297,3065729
Connecticut,Brain and Other Nervous System,2020,Male and Female,White Non-Hispanic,Incidence,8.1,253,2354601
