Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
New York,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Indiana,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Kentucky,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Kansas,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
New Jersey,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
New Hampshire,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
North Dakota,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Nevada,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Vermont,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Delaware,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Illinois,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
West Virginia,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
District of Columbia,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Alabama,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,95.3,39,30202
Tennessee,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,135.1,38,21282
Louisiana,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,167.5,60,32524
Connecticut,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,172.6,20,9756
Missouri,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,180.4,77,34089
Ohio,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,181.4,66,30737
Georgia,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,206.7,69,28214
Arizona,All Types of Cancer,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,223.4,609,298906
