Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
New York,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Missouri,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Connecticut,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Florida,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Montana,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Colorado,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Georgia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
South Carolina,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Indiana,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Iowa,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Kentucky,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Maryland,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
North Carolina,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Kansas,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Hawaii,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
New Jersey,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Nebraska,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
South Dakota,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Alaska,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
California,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Massachusetts,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
New Mexico,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Alabama,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
North Dakota,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Arizona,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
New Hampshire,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Nevada,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Washington,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Oregon,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Vermont,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Delaware,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Mississippi,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Wisconsin,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Tennessee,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Illinois,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Louisiana,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Ohio,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Pennsylvania,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
West Virginia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Michigan,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Wyoming,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Idaho,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Arkansas,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Rhode Island,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Utah,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Virginia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Maine,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
District of Columbia,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Minnesota,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Texas,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Puerto Rico,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,,,
Oklahoma,Brain and Other Nervous System,2020,Male and Female,American Indian and Alaska Native Non-Hispanic,Incidence,6,19,386285
