Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,,,
Indiana,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,,,
Puerto Rico,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,4.6,82,1555294
South Dakota,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,5.3,27,450659
New Mexico,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,5.3,61,1042459
Hawaii,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,5.9,47,704366
Mississippi,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,5.9,95,1435815
Louisiana,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.3,151,2264160
Texas,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.5,947,14581051
Maryland,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.6,209,2932574
Virginia,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.6,306,4227531
South Carolina,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.7,202,2523412
Georgia,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.7,363,5201549
Idaho,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.7,68,916124
Arkansas,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.7,111,1486856
District of Columbia,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.7,21,337932
California,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.9,1427,19577489
Vermont,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,6.9,29,307992
Ohio,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7,455,5732661
Oklahoma,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7,148,1971181
Michigan,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7,392,4907813
New York,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7,740,9390497
North Carolina,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.1,413,5152582
Kansas,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.1,113,1451540
Tennessee,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.2,273,3358020
Oregon,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.2,172,2102461
Wisconsin,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.2,248,2903716
Colorado,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.3,232,2925887
Illinois,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.3,494,6185306
North Dakota,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.3,31,391815
Florida,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.4,964,10620180
Arizona,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.4,304,3685926
Kentucky,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.4,187,2205345
Alaska,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.5,30,381537
Massachusetts,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.5,288,3347032
Missouri,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.5,255,3017723
Washington,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.6,315,3853598
Iowa,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.7,140,1575695
Alabama,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.7,201,2376966
Wyoming,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.7,25,296891
Minnesota,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.8,242,2818594
Nebraska,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.9,82,967813
Pennsylvania,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.9,579,6267042
West Virginia,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.9,82,884276
New Jersey,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,7.9,385,4343049
Utah,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,8.1,126,1637740
Delaware,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,8.3,46,476740
Montana,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,8.4,51,544101
Maine,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,8.5,78,661301
New Hampshire,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,8.5,64,676994
Rhode Island,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,9,51,514692
Connecticut,Brain and Other Nervous System,2020,Male,All Races and Ethnicities,Incidence,9.2,185,1734920
