Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Indiana,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
Nevada,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
Wyoming,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
North Dakota,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,,,
District of Columbia,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,166.1,42,34413
Montana,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,191.9,21,12531
Connecticut,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,193.9,316,182848
Arizona,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,197,578,296873
New Mexico,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,200.8,89,38983
South Carolina,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,204.4,209,107031
Ohio,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,209.9,572,327080
Vermont,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,213.6,20,13228
Michigan,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,213.6,672,361567
Missouri,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,213.8,273,155462
Delaware,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,214.7,92,43348
Virginia,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,218.3,1381,650090
Rhode Island,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,219.7,70,40103
New Hampshire,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,220.3,80,44067
Pennsylvania,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,222,1013,507831
Tennessee,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,224.6,289,146814
Kentucky,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,232,153,82010
Nebraska,All Types of Cancer,2020,Male and Female,Asian and Pacific Islander Non-Hispanic,Incidence,232.8,97,56670
