Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
Indiana,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
Puerto Rico,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,2.8,151,3281538
New Mexico,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.1,86,2106319
California,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.4,1608,39368078
Utah,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.4,108,3249879
Maryland,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.5,269,6055802
Arizona,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.5,357,7421401
Texas,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.5,1126,29360759
Hawaii,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.8,73,1407006
South Dakota,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.9,48,892717
New York,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.9,1005,19336776
Virginia,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,3.9,428,8590563
Colorado,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.1,283,5807719
New Jersey,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.1,482,8882371
Delaware,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.1,57,986809
Idaho,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.1,93,1826913
Washington,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.1,395,7693612
South Carolina,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.2,307,5218040
North Carolina,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.2,577,10600823
Georgia,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.2,533,10710017
Florida,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.2,1404,21733312
Oregon,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.2,240,4241507
Mississippi,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.2,167,2966786
Connecticut,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.3,213,3557006
Tennessee,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.3,386,6886834
Montana,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.4,69,1080577
Kansas,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.4,158,2913805
Alabama,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.5,298,4921532
North Dakota,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.5,42,765309
Oklahoma,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.5,221,3980783
Arkansas,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.6,183,3030522
District of Columbia,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.6,32,712816
Nebraska,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.7,115,1937552
Massachusetts,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.7,443,6893574
Michigan,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.7,650,9966555
Missouri,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.7,396,6151548
Louisiana,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.8,281,4645318
Pennsylvania,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.9,895,12783254
Illinois,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,4.9,794,12587530
Wyoming,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5,39,582328
Vermont,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5.1,48,623347
Rhode Island,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5.1,73,1057125
Iowa,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5.2,224,3163561
Minnesota,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5.2,373,5657342
Ohio,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5.3,857,11693217
Wisconsin,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5.3,422,5832655
Alaska,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5.4,43,731158
Kentucky,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5.4,317,4477251
New Hampshire,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,5.6,117,1366275
West Virginia,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,6.9,180,1784787
Maine,Esophagus,2020,Male and Female,All Races and Ethnicities,Incidence,6.9,146,1350141
