Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
North Dakota,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
Wyoming,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
District of Columbia,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
Indiana,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,Data not presented,Data not presented,Data not presented
Hawaii,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,1.7,25,1407006
New Hampshire,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,1.7,24,1366275
Colorado,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,1.8,105,5807719
Delaware,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,1.8,18,986809
Oregon,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2,92,4241507
Arizona,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2,154,7421401
West Virginia,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2,39,1784787
Puerto Rico,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2,69,3281538
California,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.1,843,39368078
Nebraska,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.1,42,1937552
Tennessee,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.1,146,6886834
Virginia,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.1,184,8590563
Mississippi,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.1,65,2966786
New Mexico,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.2,47,2106319
Oklahoma,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.2,87,3980783
Texas,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.2,652,29360759
Washington,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.2,171,7693612
Alabama,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.3,115,4921532
Kentucky,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.3,106,4477251
Missouri,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.3,149,6151548
Minnesota,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.3,128,5657342
North Carolina,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.4,270,10600823
Kansas,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.4,75,2913805
South Dakota,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.4,23,892717
Massachusetts,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.4,174,6893574
Idaho,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.4,45,1826913
Montana,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.5,30,1080577
Alaska,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.5,18,731158
Maryland,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.5,150,6055802
Georgia,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.5,271,10710017
Utah,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.5,81,3249879
Ohio,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.5,303,11693217
Louisiana,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.5,118,4645318
Wisconsin,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.5,150,5832655
South Carolina,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.6,143,5218040
Iowa,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.6,86,3163561
Florida,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.6,612,21733312
Pennsylvania,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.6,344,12783254
Michigan,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.6,259,9966555
Connecticut,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.7,100,3557006
Illinois,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.7,357,12587530
Arkansas,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.8,83,3030522
New York,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.8,557,19336776
Maine,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,2.8,39,1350141
Vermont,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,3,21,623347
New Jersey,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,3.2,286,8882371
Rhode Island,Hodgkin Lymphoma,2020,Male and Female,All Races and Ethnicities,Incidence,3.3,36,1057125
