Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,,,
North Dakota,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,,,
Indiana,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,,,
Wisconsin,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,,,
West Virginia,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,155.3,37,31999
Mississippi,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,167.2,105,99990
Alabama,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,203.2,283,226557
Arkansas,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,205.6,269,243163
Maine,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,207.2,36,25266
Missouri,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,221.5,400,276072
Virginia,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,232.1,1295,855301
Maryland,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,246.2,1068,654437
Tennessee,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,248,563,404410
Alaska,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,252.2,76,53556
District of Columbia,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,254,144,81115
Montana,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,256.7,74,44960
New Hampshire,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,265.2,96,57467
Iowa,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,266.4,296,205956
Arizona,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,266.4,4641,2366919
Kentucky,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,268.6,280,179277
Louisiana,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,273.7,534,252634
Wyoming,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,279.7,128,60279
Oregon,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,283.5,957,579836
Michigan,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,283.8,990,542105
North Carolina,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,286.6,1647,1052435
Texas,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,286.8,25154,11691857
South Dakota,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,289.4,54,39604
Ohio,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,290,885,488084
Vermont,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,291.1,25,13318
Oklahoma,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,291.7,721,452487
Washington,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,291.9,1647,1027545
Delaware,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,292.3,181,97078
California,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,299.3,36476,15569780
New Mexico,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,300.2,3100,1046092
Nebraska,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,308.7,387,225592
Illinois,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,312.6,4983,2219748
Colorado,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,321.7,2905,1274247
Georgia,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,327.6,2057,1067941
Kansas,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,329.4,688,362238
Rhode Island,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,331.6,414,176471
Florida,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,332.2,20057,5749737
Idaho,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,335.4,472,237272
New York,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,335.8,11625,3738921
Pennsylvania,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,343.4,2229,1032627
New Jersey,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,346.3,5464,1874656
Massachusetts,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,347.2,2131,867425
Connecticut,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,366.4,1655,612929
Minnesota,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,372.3,629,321686
South Carolina,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,390.4,669,320061
Utah,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,394,1041,471647
Hawaii,All Types of Cancer,2020,Male and Female,Hispanic,Incidence,472.8,376,147874
