Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Nevada,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,,,
Indiana,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,327.8,7324,1555294
New Mexico,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,348.2,4567,1042459
Arizona,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,351,16225,3685926
Oregon,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,370,9798,2102461
California,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,383.4,81611,19577489
Colorado,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,384.5,12190,2925887
District of Columbia,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,385.6,1208,337932
Virginia,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,396.3,19541,4227531
Wyoming,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,398.7,1511,296891
Washington,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,407.8,17931,3853598
Rhode Island,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,408.7,2662,514692
Hawaii,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,408.8,3739,704366
Texas,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,416.3,59631,14581051
Massachusetts,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,417.9,17133,3347032
Utah,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,421.2,6113,1637740
Nebraska,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,423,4723,967813
Alaska,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,426.3,1663,381537
Michigan,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,432.8,26933,4907813
South Carolina,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,433.2,14065,2523412
Delaware,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,433.3,2846,476740
Maryland,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,435.5,15003,2932574
Florida,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,439.1,66158,10620180
Alabama,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,440.4,12969,2376966
Connecticut,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,441.2,9772,1734920
Vermont,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,443,1912,307992
Arkansas,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,444.1,8097,1486856
Montana,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,445,3291,544101
Pennsylvania,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,445.3,36420,6267042
New Hampshire,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,446.4,4148,676994
Kansas,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,450.3,7635,1451540
Oklahoma,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,452.4,10270,1971181
Missouri,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,454.7,16949,3017723
Illinois,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,455.2,32987,6185306
Idaho,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,456.3,4923,916124
South Dakota,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,462.8,2518,450659
New York,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,463.5,52814,9390497
Minnesota,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,464,15590,2818594
Mississippi,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,465.7,7972,1435815
Ohio,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,466,33294,5732661
North Carolina,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,467.1,28971,5152582
Tennessee,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,467.6,18979,3358020
Wisconsin,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,470.2,17355,2903716
West Virginia,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,471.1,5858,884276
North Dakota,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,471.8,2076,391815
Georgia,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,489.7,27693,5201549
New Jersey,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,490,25653,4343049
Maine,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,492,4791,661301
Louisiana,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,493.8,13152,2264160
Iowa,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,497.8,9633,1575695
Kentucky,All Types of Cancer,2020,Male,All Races and Ethnicities,Incidence,507.8,13572,2205345
