Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Case Count,Population
Indiana,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,,,
Nevada,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,,,
North Dakota,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,,,
Puerto Rico,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,,,
District of Columbia,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,317.1,397,136184
New Mexico,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,363.2,2533,388022
Arizona,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,376.4,12785,2013357
Oregon,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,377.5,8738,1600550
Colorado,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,388.4,9863,2002532
Wyoming,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,402.7,1393,250498
Virginia,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,404.3,14446,2637408
Washington,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,408.6,14701,2647197
Rhode Island,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,417.6,2291,367048
Utah,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,420.7,5300,1287800
Nebraska,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,423.3,4208,757498
Michigan,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,423.7,22070,3726688
Massachusetts,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,424.3,14456,2389132
California,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,430.5,47681,7365392
South Carolina,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,430.7,10397,1638616
Delaware,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,434,2177,296209
Montana,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,434.8,3016,475215
Alaska,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,434.8,1269,243723
Alabama,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,436.9,9640,1587080
Pennsylvania,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,443.5,31045,4771029
Vermont,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,445.2,1857,287880
New Hampshire,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,447,3962,610219
Oklahoma,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,448.2,8152,1322611
Kansas,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,449.5,6574,1100210
Connecticut,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,452.8,7993,1147913
Missouri,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,454.6,14793,2422725
Maryland,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,455,9731,1501660
Tennessee,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,456.3,15438,2503449
Arkansas,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,456.9,6892,1084007
Mississippi,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,458.3,5269,826996
South Dakota,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,460.7,2321,369315
Idaho,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,462,4530,755926
Texas,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,463.5,37825,6063778
North Carolina,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,464.5,21576,3277105
Minnesota,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,465.9,14177,2239725
Ohio,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,467.2,28767,4539731
Wisconsin,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,470.2,15806,2359757
Florida,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,471.2,48682,5745470
West Virginia,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,474.1,5608,817264
Illinois,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,474.4,24958,3791759
Louisiana,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,492.5,8921,1343835
Maine,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,494.7,4668,619537
New York,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,494.9,37319,5287517
Hawaii,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,496.9,1368,165651
Iowa,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,498.1,9019,1336478
Georgia,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,500.6,18516,2759921
New Jersey,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,510.3,18003,2378225
Kentucky,All Types of Cancer,2020,Male,White Non-Hispanic,Incidence,510.4,12309,1865039
