sex,race
Male and Female,All Races and Ethnicities
Male and Female,White Non-Hispanic
Male and Female,Black Non-Hispanic
Male and Female,American Indian and Alaska Native Non-Hispanic
Male and Female,Asian and Pacific Islander Non-Hispanic
Male,All Races and Ethnicities
Male,White Non-Hispanic
Male,Black Non-Hispanic
Male,American Indian and Alaska Native Non-Hispanic
Male,Asian and Pacific Islander Non-Hispanic
Female,All Races and Ethnicities
Female,White Non-Hispanic
Female,Black Non-Hispanic
Female,American Indian and Alaska Native Non-Hispanic
Female,Asian and Pacific Islander Non-Hispanic
